country,consumer demand (tonnes),comsumer demand per capita (grams),total bar and coin  demand (tonnes),jewellery demand (tonnes),Latitude,Longitude
India,747.5,0.52,185.2,562.3,22.19916608,78.47668103
Pakistan,43,0.19,21.9,0,28.18638467,67.69523673
Sri Lanka,10.5,0.47,-,10.5,7.608085219,80.70472725
"China, P.R.: Mainland",909.7,0.64,279.5,630.2,39.9204,114.4074
Hong Kong SAR,38.6,5.12,1.2,37.4,22.2979585,114.1735878
Taiwan Province of China,10.8,0.47,6.4,4.4,23.9719377,121.6106224
Japan,14,0.11,-2.3,16.3,36.38649282,138.5922295
Indonesia,45.3,0.16,20.4,24.9,-6.17555357,106.8272159
Malaysia,16.6,0.5,5.3,11.3,4.49664266,102.2757196
Singapore,12.5,2.21,5.3,7.2,1.351616122,103.8080526
"Korea, Republic of",27.6,0.53,15.3,12.2,37.4308895,127.0198875
Thailand,42.1,0.6,32.9,9.2,15.12733346,101.0174377
Vietnam,55.5,0.55,40.4,15.1,14.31542418,108.3395375
Australia,24,0.9,13.6,10.4,-25.73496849,134.4895626
Saudi Arabia,52.3,1.59,14.1,38.1,23.384784,44.652426
UAE,51,5.07,11.2,39.7,23.85205998,54.25617237
Kuwait,19.6,3.95,5.2,14.3,29.34121157,47.59060411
Egypt,57,0.54,30.3,26.7,26.49418383,29.87190345
Islamic Republic of Iran,71.8,0.83,44.4,27.3,32.5658376,54.30137409
Turkey,201.6,2.34,159.6,41.9,39.06048137,35.17959338
Russian Federation,71.2,0.5,31.5,39.7,61.99457341,96.66970546
United States,248.8,0.74,112.8,136,39.38126613,-97.92221121
Canada,23.8,0.6,9.5,14.3,55.58590129,-105.7505959
Mexico,14.7,0.11,1.1,13.6,23.95046423,-102.5328674
Brazil,17,0.08,1.7,15.2,-9.588903017,-51.61978902
France,17.9,0.27,3.8,14.2,47.82490462,2.618786953
Germany,57.5,0.69,46.9,10.7,51.13348134,10.01834329
Italy,18.7,0.32,-,18.7,42.50415392,12.64636104
Spain,8.2,0.17,-,8.2,41.29485563,-4.055685015
United Kingdom,31,0.46,12.8,18.2,54.23793336,-2.36966957
Switzerland,35.8,4.06,35.8,-,46.80249558,8.234391914
Austria,4.1,0.45,4.1,-,47.60779783,14.30014359
